orig path,orig slack,orig cycles,exp path,exp slack,exp cycles,delta slack,start point,end point,source clk,destination clock,delta classification
73852,0.0145,0,55983,0.0181,0,-0.0036,c/unit_19/subblock/reg[29],d/branch/stream/reg_103[4],zclk,mclk,improved
55232,0.0052,0,99554,0.0052,0,0.0,c/unit_11/subblock/reg[0],d/branch/stream/reg_140[7],mclk,mclk,no change
43982,0.0155,0,36596,0.0213,0,-0.0058,c/unit_13/subblock/reg[17],d/branch/stream/reg_142[10],mclk,mclk,improved
68491,0.0133,0,52333,0.0053,0,0.008,c/unit_14/subblock/reg[0],d/branch/stream/reg_141[27],yclk,mclk,degraded
91651,0.0096,0,81070,0.0096,0,0.0,c/unit_19/subblock/reg[29],d/branch/stream/reg_144[7],mclk,mclk,no change
62847,0.0075,0,56611,0.0039,0,0.0036,c/unit_11/subblock/reg[3],d/branch/stream/reg_159[25],yclk,zclk,degraded
72673,0.005,0,42206,0.0072,0,-0.0022,c/unit_11/subblock/reg[63],d/branch/stream/reg_113[35],mclk,yclk,improved
34341,0.0126,0,73427,0.0186,0,-0.006,c/unit_14/subblock/reg[42],d/branch/stream/reg_162[39],zclk,mclk,improved
42497,0.0069,0,47190,0.0165,0,-0.0096,c/unit_13/subblock/reg[54],d/branch/stream/reg_148[7],mclk,zclk,improved
74999,0.0167,0,68593,0.0246,0,-0.0079,c/unit_20/subblock/reg[35],d/branch/stream/reg_108[63],zclk,yclk,improved
94837,0.019,0,44134,0.019,0,0.0,c/unit_17/subblock/reg[55],d/branch/stream/reg_179[57],zclk,mclk,no change
24810,0.0043,0,46968,0.0043,0,0.0,c/unit_16/subblock/reg[49],d/branch/stream/reg_165[2],mclk,mclk,no change
85834,0.013,0,44883,0.0191,0,-0.0061,c/unit_18/subblock/reg[29],d/branch/stream/reg_142[16],mclk,mclk,improved
42703,0.0038,0,24786,0.0125,0,-0.0087,c/unit_13/subblock/reg[22],d/branch/stream/reg_159[18],yclk,mclk,improved
83615,0.0033,0,31466,0.0128,0,-0.0095,c/unit_17/subblock/reg[24],d/branch/stream/reg_112[43],zclk,yclk,improved
76662,0.0144,0,99282,0.0144,0,0.0,c/unit_14/subblock/reg[3],d/branch/stream/reg_152[55],yclk,mclk,no change
24471,0.0106,0,51118,0.0023,0,0.0083,c/unit_14/subblock/reg[17],d/branch/stream/reg_143[10],yclk,mclk,degraded
76706,0.0109,0,37966,0.0109,0,0.0,c/unit_11/subblock/reg[11],d/branch/stream/reg_137[27],zclk,mclk,no change
58115,0.0074,0,96850,0.0074,0,0.0,c/unit_14/subblock/reg[7],d/branch/stream/reg_179[26],mclk,zclk,no change
60449,0.0065,0,84051,0.0065,0,0.0,c/unit_14/subblock/reg[24],d/branch/stream/reg_175[40],zclk,mclk,no change
44727,0.0022,0,39074,0.0022,0,0.0,c/unit_19/subblock/reg[10],d/branch/stream/reg_182[40],yclk,mclk,no change
20440,0.0134,0,39990,0.0134,0,0.0,c/unit_13/subblock/reg[10],d/branch/stream/reg_108[29],mclk,zclk,no change
84426,0.0099,0,93925,0.0099,0,0.0,c/unit_18/subblock/reg[0],d/branch/stream/reg_168[7],zclk,yclk,no change
57127,0.0083,0,66934,0.0109,0,-0.0026,c/unit_16/subblock/reg[52],d/branch/stream/reg_131[39],yclk,yclk,improved
97433,0.0089,0,57715,0.0133,0,-0.0044,c/unit_18/subblock/reg[51],d/branch/stream/reg_114[40],yclk,yclk,improved
47428,0.0042,0,51951,0.0042,0,0.0,c/unit_12/subblock/reg[0],d/branch/stream/reg_156[38],yclk,mclk,no change
40805,0.0093,0,25647,0.0013,0,0.008,c/unit_18/subblock/reg[46],d/branch/stream/reg_197[12],yclk,mclk,degraded
60781,0.0165,0,51067,0.0165,0,0.0,c/unit_13/subblock/reg[19],d/branch/stream/reg_136[8],mclk,yclk,no change
80835,0.0147,0,82667,0.0135,0,0.0012,c/unit_17/subblock/reg[51],d/branch/stream/reg_194[19],zclk,mclk,degraded
27682,0.0101,0,94656,0.0046,0,0.0055,c/unit_11/subblock/reg[43],d/branch/stream/reg_124[7],zclk,mclk,degraded
61478,0.0121,0,80121,0.0091,0,0.003,c/unit_12/subblock/reg[41],d/branch/stream/reg_172[51],yclk,yclk,degraded
38871,0.0055,0,91250,0.015,0,-0.0095,c/unit_12/subblock/reg[45],d/branch/stream/reg_114[43],yclk,mclk,improved
41186,0.0181,0,41909,0.0248,0,-0.0067,c/unit_13/subblock/reg[28],d/branch/stream/reg_130[60],yclk,yclk,improved
73507,0.0104,0,57351,0.0118,0,-0.0014,c/unit_14/subblock/reg[27],d/branch/stream/reg_109[55],mclk,zclk,improved
79873,0.0159,0,76885,0.006,0,0.0099,c/unit_14/subblock/reg[23],d/branch/stream/reg_102[63],mclk,zclk,degraded
93713,0.0149,0,91749,0.007,0,0.0079,c/unit_17/subblock/reg[43],d/branch/stream/reg_125[54],zclk,zclk,degraded
81500,0.0068,0,87412,0.0068,0,0.0,c/unit_16/subblock/reg[11],d/branch/stream/reg_110[7],yclk,yclk,no change
71802,0.0114,0,66867,0.0114,0,0.0,c/unit_13/subblock/reg[62],d/branch/stream/reg_194[8],mclk,yclk,no change
54117,0.0046,0,75990,0.0146,0,-0.01,c/unit_13/subblock/reg[2],d/branch/stream/reg_134[24],mclk,yclk,improved
64329,0.008,0,32403,0.0049,0,0.0031,c/unit_18/subblock/reg[9],d/branch/stream/reg_119[61],mclk,mclk,degraded
