orig path,orig slack,orig cycles,exp path,exp slack,exp cycles,delta slack,start point,end point,source clk,destination clock,delta classification
97337,0.0046,0,86708,0.0019,0,0.0027,c/unit_11/subblock/reg[56],d/branch/stream/reg_127[37],yclk,yclk,degraded
25676,0.0123,0,98193,0.0112,0,0.0011,c/unit_20/subblock/reg[57],d/branch/stream/reg_120[23],mclk,zclk,degraded
30978,0.0112,0,56486,0.0073,0,0.0039,c/unit_17/subblock/reg[29],d/branch/stream/reg_138[55],yclk,yclk,degraded
91496,0.0087,0,73712,0.0087,0,0.0,c/unit_12/subblock/reg[45],d/branch/stream/reg_118[28],yclk,mclk,no change
46583,0.015,0,58629,0.0052,0,0.0098,c/unit_17/subblock/reg[7],d/branch/stream/reg_188[44],zclk,mclk,degraded
56528,0.0116,0,38359,0.0048,0,0.0068,c/unit_17/subblock/reg[53],d/branch/stream/reg_189[44],zclk,zclk,degraded
71894,0.0177,0,56046,0.0238,0,-0.0061,c/unit_14/subblock/reg[25],d/branch/stream/reg_150[40],yclk,zclk,improved
49994,0.0179,0,84346,0.0099,0,0.008,c/unit_17/subblock/reg[48],d/branch/stream/reg_169[11],yclk,yclk,degraded
49802,0.0069,0,24204,0.001,0,0.0059,c/unit_15/subblock/reg[55],d/branch/stream/reg_128[16],mclk,yclk,degraded
43574,0.0185,0,82782,0.0111,0,0.0074,c/unit_11/subblock/reg[8],d/branch/stream/reg_147[62],mclk,mclk,degraded
96890,0.0166,0,55756,0.0166,0,0.0,c/unit_17/subblock/reg[18],d/branch/stream/reg_126[53],zclk,yclk,no change
38439,0.0097,0,81795,0.0015,0,0.0082,c/unit_18/subblock/reg[55],d/branch/stream/reg_135[38],mclk,mclk,degraded
99332,0.0195,0,73586,0.025,0,-0.0055,c/unit_16/subblock/reg[60],d/branch/stream/reg_150[16],yclk,mclk,improved
78437,0.0013,0,72551,0.0013,0,0.0,c/unit_19/subblock/reg[24],d/branch/stream/reg_132[6],yclk,yclk,no change
77207,0.0112,0,46242,0.0112,0,0.0,c/unit_19/subblock/reg[13],d/branch/stream/reg_138[9],zclk,yclk,no change
91858,0.0126,0,33834,0.0126,0,0.0,c/unit_16/subblock/reg[17],d/branch/stream/reg_141[54],mclk,zclk,no change
73780,0.0152,0,81424,0.0141,0,0.0011,c/unit_18/subblock/reg[5],d/branch/stream/reg_174[4],yclk,zclk,degraded
64941,0.0172,0,79978,0.0172,0,0.0,c/unit_19/subblock/reg[45],d/branch/stream/reg_185[2],yclk,zclk,no change
94230,0.0054,0,59177,0.0054,0,0.0,c/unit_15/subblock/reg[17],d/branch/stream/reg_172[21],yclk,mclk,no change
96594,0.0141,0,99352,0.0141,0,0.0,c/unit_18/subblock/reg[47],d/branch/stream/reg_174[58],mclk,yclk,no change
77938,0.0074,0,68903,0.005,0,0.0024,c/unit_14/subblock/reg[18],d/branch/stream/reg_171[32],yclk,mclk,degraded
74072,0.0166,0,64689,0.0166,0,0.0,c/unit_18/subblock/reg[27],d/branch/stream/reg_196[61],zclk,yclk,no change
45305,0.0172,0,83667,0.0172,0,0.0,c/unit_18/subblock/reg[12],d/branch/stream/reg_130[17],zclk,zclk,no change
69696,0.005,0,84823,-0.0018,0,0.0068,c/unit_19/subblock/reg[29],d/branch/stream/reg_155[57],yclk,mclk,degraded
75378,0.0176,0,80052,0.023,0,-0.0054,c/unit_12/subblock/reg[11],d/branch/stream/reg_103[23],mclk,zclk,improved
21664,0.011,0,79611,0.0066,0,0.0044,c/unit_15/subblock/reg[17],d/branch/stream/reg_148[37],yclk,mclk,degraded
97809,0.0054,0,78513,0.0133,0,-0.0079,c/unit_20/subblock/reg[43],d/branch/stream/reg_121[16],mclk,mclk,improved
82839,0.0177,0,88639,0.0177,0,0.0,c/unit_11/subblock/reg[16],d/branch/stream/reg_157[9],yclk,yclk,no change
53174,0.0062,0,28282,-0.0021,0,0.0083,c/unit_16/subblock/reg[49],d/branch/stream/reg_126[59],mclk,zclk,degraded
49701,0.0093,0,44195,0.0151,0,-0.0058,c/unit_20/subblock/reg[49],d/branch/stream/reg_126[31],yclk,mclk,improved
21809,0.0136,0,38543,0.0099,0,0.0037,c/unit_15/subblock/reg[47],d/branch/stream/reg_132[11],yclk,yclk,degraded
58294,0.0195,0,78354,0.0165,0,0.003,c/unit_16/subblock/reg[27],d/branch/stream/reg_135[6],zclk,yclk,degraded
20496,0.0182,0,82091,0.0182,0,0.0,c/unit_15/subblock/reg[15],d/branch/stream/reg_177[32],mclk,yclk,no change
72399,0.0011,0,27213,0.0011,0,0.0,c/unit_12/subblock/reg[6],d/branch/stream/reg_140[58],zclk,yclk,no change
59369,0.0048,0,91778,0.0024,0,0.0024,c/unit_11/subblock/reg[0],d/branch/stream/reg_139[29],zclk,zclk,degraded
69203,0.0061,0,20897,0.0098,0,-0.0037,c/unit_13/subblock/reg[29],d/branch/stream/reg_194[29],mclk,yclk,improved
71265,0.0149,0,55328,0.0149,0,0.0,c/unit_19/subblock/reg[21],d/branch/stream/reg_152[48],mclk,zclk,no change
21584,0.0086,0,38740,0.0157,0,-0.0071,c/unit_19/subblock/reg[5],d/branch/stream/reg_137[35],zclk,mclk,improved
55008,0.0188,0,44680,0.0212,0,-0.0024,c/unit_17/subblock/reg[45],d/branch/stream/reg_196[16],zclk,yclk,improved
90498,0.0108,0,55377,0.002,0,0.0088,c/unit_20/subblock/reg[32],d/branch/stream/reg_131[28],zclk,mclk,degraded
73044,0.0187,0,82149,0.0132,0,0.0055,c/unit_12/subblock/reg[25],d/branch/stream/reg_121[3],yclk,mclk,degraded
89075,0.0185,0,25684,0.0185,0,0.0,c/unit_18/subblock/reg[12],d/branch/stream/reg_166[60],yclk,yclk,no change
65836,0.0162,0,63560,0.0072,0,0.009,c/unit_15/subblock/reg[18],d/branch/stream/reg_127[40],mclk,yclk,degraded
63898,0.0121,0,52881,0.0181,0,-0.006,c/unit_14/subblock/reg[18],d/branch/stream/reg_162[34],yclk,zclk,improved
52786,0.0061,0,77442,0.0061,0,0.0,c/unit_19/subblock/reg[6],d/branch/stream/reg_166[48],yclk,yclk,no change
80600,0.0037,0,88173,-0.0052,0,0.0089,c/unit_14/subblock/reg[43],d/branch/stream/reg_105[40],yclk,yclk,degraded
28937,0.0163,0,35440,0.0247,0,-0.0084,c/unit_12/subblock/reg[6],d/branch/stream/reg_195[31],zclk,mclk,improved
81287,0.0146,0,77634,0.0146,0,0.0,c/unit_16/subblock/reg[37],d/branch/stream/reg_115[23],mclk,yclk,no change
91429,0.0029,0,55743,-0.0062,0,0.0091,c/unit_17/subblock/reg[26],d/branch/stream/reg_101[14],yclk,yclk,degraded
27658,0.0024,0,56660,-0.005,0,0.0074,c/unit_14/subblock/reg[48],d/branch/stream/reg_167[22],zclk,yclk,degraded
38258,0.0075,0,30837,0.0063,0,0.0012,c/unit_18/subblock/reg[0],d/branch/stream/reg_104[19],mclk,mclk,degraded
93773,0.0138,0,99762,0.0236,0,-0.0098,c/unit_16/subblock/reg[42],d/branch/stream/reg_112[44],mclk,yclk,improved
47105,0.0023,0,73935,-0.002,0,0.0043,c/unit_19/subblock/reg[59],d/branch/stream/reg_122[44],zclk,yclk,degraded
22687,0.0131,0,53896,0.0131,0,0.0,c/unit_11/subblock/reg[6],d/branch/stream/reg_129[51],mclk,yclk,no change
86764,0.0099,0,95567,0.0199,0,-0.01,c/unit_15/subblock/reg[63],d/branch/stream/reg_114[60],zclk,mclk,improved
36898,0.0068,0,27913,0.0121,0,-0.0053,c/unit_20/subblock/reg[54],d/branch/stream/reg_155[31],yclk,yclk,improved
67098,0.0071,0,73720,0.0071,0,0.0,c/unit_15/subblock/reg[1],d/branch/stream/reg_146[59],mclk,yclk,no change
97933,0.007,0,32846,0.0021,0,0.0049,c/unit_19/subblock/reg[45],d/branch/stream/reg_178[30],zclk,zclk,degraded
58365,0.0062,0,35491,0.0022,0,0.004,c/unit_16/subblock/reg[53],d/branch/stream/reg_169[2],mclk,yclk,degraded
51066,0.0147,0,95829,0.0147,0,0.0,c/unit_19/subblock/reg[28],d/branch/stream/reg_144[6],mclk,yclk,no change
38921,0.0177,0,35099,0.0151,0,0.0026,c/unit_11/subblock/reg[43],d/branch/stream/reg_181[54],yclk,mclk,degraded
61408,0.0078,0,47943,-0.0008,0,0.0086,c/unit_13/subblock/reg[42],d/branch/stream/reg_174[27],mclk,yclk,degraded
53772,0.0158,0,50597,0.0198,0,-0.004,c/unit_20/subblock/reg[2],d/branch/stream/reg_113[62],zclk,zclk,improved
56363,0.0166,0,52615,0.0166,0,0.0,c/unit_18/subblock/reg[14],d/branch/stream/reg_140[17],zclk,mclk,no change
93904,0.0046,0,45922,-0.0018,0,0.0064,c/unit_17/subblock/reg[1],d/branch/stream/reg_176[4],mclk,mclk,degraded
91575,0.0077,0,99799,0.0163,0,-0.0086,c/unit_18/subblock/reg[40],d/branch/stream/reg_143[48],zclk,mclk,improved
