orig path,orig slack,orig cycles,exp path,exp slack,exp cycles,delta slack,start point,end point,source clk,destination clock,delta classification
78497,0.0036,0,63240,0.005,0,-0.0014,c/unit_14/subblock/reg[5],d/branch/stream/reg_162[30],yclk,zclk,improved
84493,0.0139,0,89953,0.006,0,0.0079,c/unit_13/subblock/reg[62],d/branch/stream/reg_178[18],zclk,mclk,degraded
95068,0.005,0,39793,0.005,0,0.0,c/unit_17/subblock/reg[12],d/branch/stream/reg_199[30],yclk,mclk,no change
63693,0.0061,0,72942,0.0075,0,-0.0014,c/unit_12/subblock/reg[51],d/branch/stream/reg_136[31],zclk,mclk,improved
39174,0.0152,0,79635,0.0152,0,0.0,c/unit_11/subblock/reg[35],d/branch/stream/reg_112[57],zclk,mclk,no change
43992,0.0174,0,30443,0.0174,0,0.0,c/unit_14/subblock/reg[18],d/branch/stream/reg_145[40],yclk,mclk,no change
82606,0.0157,0,35217,0.0253,0,-0.0096,c/unit_11/subblock/reg[23],d/branch/stream/reg_198[35],yclk,yclk,improved
70735,0.0133,0,98836,0.0148,0,-0.0015,c/unit_18/subblock/reg[13],d/branch/stream/reg_148[18],mclk,mclk,improved
77787,0.0047,0,72777,0.0112,0,-0.0065,c/unit_19/subblock/reg[15],d/branch/stream/reg_139[2],yclk,zclk,improved
54011,0.0056,0,39613,0.0123,0,-0.0067,c/unit_13/subblock/reg[32],d/branch/stream/reg_142[5],zclk,yclk,improved
62216,0.0149,0,60863,0.0061,0,0.0088,c/unit_12/subblock/reg[23],d/branch/stream/reg_140[16],yclk,zclk,degraded
42044,0.019,0,54141,0.0106,0,0.0084,c/unit_13/subblock/reg[62],d/branch/stream/reg_144[13],yclk,mclk,degraded
68558,0.0042,0,88345,0.0087,0,-0.0045,c/unit_17/subblock/reg[28],d/branch/stream/reg_106[49],yclk,yclk,improved
48412,0.0181,0,28489,0.0163,0,0.0018,c/unit_19/subblock/reg[25],d/branch/stream/reg_172[47],zclk,mclk,degraded
53344,0.0107,0,78682,0.0107,0,0.0,c/unit_20/subblock/reg[12],d/branch/stream/reg_188[5],yclk,mclk,no change
28813,0.0152,0,86735,0.0088,0,0.0064,c/unit_12/subblock/reg[11],d/branch/stream/reg_194[26],mclk,mclk,degraded
37048,0.0157,0,78514,0.0157,0,0.0,c/unit_20/subblock/reg[35],d/branch/stream/reg_117[25],mclk,mclk,no change
41759,0.0163,0,84748,0.0163,0,0.0,c/unit_16/subblock/reg[47],d/branch/stream/reg_139[8],zclk,mclk,no change
46188,0.0015,0,87165,-0.0061,0,0.0076,c/unit_19/subblock/reg[45],d/branch/stream/reg_132[7],mclk,yclk,degraded
78867,0.0138,0,23685,0.0189,0,-0.0051,c/unit_18/subblock/reg[24],d/branch/stream/reg_198[33],zclk,mclk,improved
81308,0.0145,0,70094,0.0117,0,0.0028,c/unit_17/subblock/reg[33],d/branch/stream/reg_194[7],zclk,mclk,degraded
38353,0.0056,0,53644,0.0153,0,-0.0097,c/unit_17/subblock/reg[1],d/branch/stream/reg_157[11],yclk,yclk,improved
82622,0.0122,0,75862,0.0122,0,0.0,c/unit_16/subblock/reg[29],d/branch/stream/reg_158[26],mclk,yclk,no change
57435,0.0152,0,87117,0.0152,0,0.0,c/unit_13/subblock/reg[46],d/branch/stream/reg_101[46],zclk,mclk,no change
77777,0.0158,0,45863,0.0144,0,0.0014,c/unit_15/subblock/reg[17],d/branch/stream/reg_173[29],mclk,yclk,degraded
87172,0.0137,0,56796,0.0111,0,0.0026,c/unit_19/subblock/reg[54],d/branch/stream/reg_189[33],yclk,mclk,degraded
84873,0.015,0,42021,0.015,0,0.0,c/unit_19/subblock/reg[23],d/branch/stream/reg_113[60],yclk,yclk,no change
