orig path,orig slack,orig cycles,exp path,exp slack,exp cycles,delta slack,start point,end point,source clk,destination clock,delta classification
62625,0.0054,0,65187,0.0022,0,0.0032,c/unit_20/subblock/reg[63],d/branch/stream/reg_162[43],yclk,zclk,degraded
72017,0.0061,0,47856,-0.0,0,0.0061,c/unit_12/subblock/reg[27],d/branch/stream/reg_184[45],mclk,yclk,degraded
79010,0.0159,0,53247,0.0241,0,-0.0082,c/unit_13/subblock/reg[4],d/branch/stream/reg_188[48],yclk,mclk,improved
27446,0.0111,0,37447,0.0053,0,0.0058,c/unit_17/subblock/reg[48],d/branch/stream/reg_102[8],mclk,mclk,degraded
89178,0.012,0,89301,0.0163,0,-0.0043,c/unit_16/subblock/reg[38],d/branch/stream/reg_127[49],mclk,yclk,improved
82001,0.0177,0,42684,0.0177,0,0.0,c/unit_17/subblock/reg[0],d/branch/stream/reg_116[17],yclk,mclk,no change
88013,0.0051,0,72870,-0.0014,0,0.0065,c/unit_17/subblock/reg[0],d/branch/stream/reg_176[27],zclk,zclk,degraded
93752,0.0044,0,76043,0.0044,0,0.0,c/unit_12/subblock/reg[60],d/branch/stream/reg_153[3],zclk,zclk,no change
63159,0.0154,0,32123,0.0154,0,0.0,c/unit_20/subblock/reg[18],d/branch/stream/reg_149[60],mclk,mclk,no change
61963,0.0044,0,91091,0.0067,0,-0.0023,c/unit_13/subblock/reg[12],d/branch/stream/reg_193[53],mclk,mclk,improved
36894,0.0183,0,59340,0.028,0,-0.0097,c/unit_12/subblock/reg[52],d/branch/stream/reg_105[22],zclk,yclk,improved
41967,0.0047,0,20326,0.0022,0,0.0025,c/unit_12/subblock/reg[44],d/branch/stream/reg_168[4],mclk,zclk,degraded
59661,0.0074,0,84224,0.0161,0,-0.0087,c/unit_14/subblock/reg[30],d/branch/stream/reg_168[25],yclk,mclk,improved
89831,0.0186,0,64951,0.0094,0,0.0092,c/unit_20/subblock/reg[7],d/branch/stream/reg_197[23],mclk,yclk,degraded
38140,0.0123,0,76814,0.0123,0,0.0,c/unit_13/subblock/reg[28],d/branch/stream/reg_119[33],mclk,yclk,no change
62305,0.0019,0,93945,-0.0015,0,0.0034,c/unit_19/subblock/reg[51],d/branch/stream/reg_138[15],yclk,zclk,degraded
32107,0.0099,0,41710,0.0047,0,0.0052,c/unit_11/subblock/reg[21],d/branch/stream/reg_178[25],yclk,yclk,degraded
39792,0.02,0,65341,0.0138,0,0.0062,c/unit_18/subblock/reg[40],d/branch/stream/reg_175[36],mclk,yclk,degraded
57430,0.0151,0,65746,0.0057,0,0.0094,c/unit_13/subblock/reg[25],d/branch/stream/reg_119[42],zclk,zclk,degraded
88210,0.0011,0,44417,0.0011,0,0.0,c/unit_20/subblock/reg[53],d/branch/stream/reg_126[1],zclk,zclk,no change
28510,0.0158,0,88645,0.0183,0,-0.0025,c/unit_15/subblock/reg[23],d/branch/stream/reg_183[24],yclk,zclk,improved
69444,0.0142,0,86185,0.005,0,0.0092,c/unit_18/subblock/reg[22],d/branch/stream/reg_147[13],yclk,yclk,degraded
47783,0.018,0,94729,0.0229,0,-0.0049,c/unit_12/subblock/reg[6],d/branch/stream/reg_108[10],zclk,zclk,improved
32230,0.0144,0,55722,0.0144,0,0.0,c/unit_11/subblock/reg[55],d/branch/stream/reg_120[16],zclk,mclk,no change
29040,0.0059,0,31687,-0.0023,0,0.0082,c/unit_12/subblock/reg[60],d/branch/stream/reg_182[4],yclk,zclk,degraded
64291,0.0163,0,27831,0.0104,0,0.0059,c/unit_13/subblock/reg[8],d/branch/stream/reg_187[59],zclk,mclk,degraded
50605,0.0131,0,99515,0.0057,0,0.0074,c/unit_17/subblock/reg[48],d/branch/stream/reg_108[54],mclk,zclk,degraded
51562,0.0058,0,30970,0.0091,0,-0.0033,c/unit_19/subblock/reg[57],d/branch/stream/reg_138[4],mclk,yclk,improved
51053,0.0104,0,72526,0.0104,0,0.0,c/unit_19/subblock/reg[52],d/branch/stream/reg_169[36],yclk,zclk,no change
